Provider trainee ID,Apply ID,First name,Last name,Date of birth,Gender,Nationality,Email,Ethnicity,Disabilities,Previous last name,National Insurance number,Course qualification,Training route,Course level,Course education phase,Course age range,Course ITT subject,Course study mode,Course ITT start date,Expected end date,Trainee start date,Postgraduate apprencticeship start date,Employing school URN,Lead partner URN,Year of programme,Training initiative,Funding option,Funding eligibility,Country of degree,Degree subjects,UK degree type,UK awarding institution,UK degree grade,UK degree grade other,Non UK degree types,Graduation year,Errors
AF9403,,Omar,Donnelly,25/08/1993,Not provided,Congolese (Drc),Dixie.Kovacek@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Primary,3 to 7,Primary with mathematics,,01/09/2023,01/06/2024,04/09/2023,,,,,Future Teaching Scholars,not funded,,,,,,,,,,
MQ9676,,Lucien,Dupuis,19/07/1972,Not provided,Congolese (Drc),Irving.Hermiston@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Biology with chemistry,,01/09/2023,01/06/2024,04/09/2023,,,,,Maths and Physics Chairs programme / Researchers in Schools,not funded,,,,,,,,,,
GM2375,,Gene,Durgan,12/07/1998,Not provided,"Congolese (Drc), Congolese (Drc)",Shane.Kuhic@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Modern languages,,01/09/2023,01/06/2024,02/09/2023,,,,,Maths and Physics Chairs programme / Researchers in Schools,not funded,,,,,,,,,,
NZ7230,,Jacqueline,Durgan,16/09/2003,Prefer not to say,Congolese (Drc),Avril.Crona@example.com,Not provided,,,,QTS,Provider-led (undergrad),,Secondary,16 to 19,Latin,,01/09/2023,01/06/2024,14/09/2023,,,,,Transition to Teach,not funded,,,,,,,,,,
CN4219,,Julia,Erdman,27/10/1991,Male,Congolese (Drc),Ammie.Wisozk@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,French,,01/09/2023,01/06/2024,12/09/2023,,,,,Troops to Teachers,not funded,,,,,,,,,,
QB3717,,Theresa,Fahey,19/08/1981,Not provided,Congolese (Drc),Emiko.Hudson@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Physical education with physics,,01/09/2023,01/06/2024,15/09/2023,,,,,Maths and Physics Chairs programme / Researchers in Schools,not funded,,,,,,,,,,
HG4569,,Marion,Flatley,19/12/1999,Other,Congolese (Drc),Sage.Anderson@example.com,Not provided,,,,QTS,School direct (salaried),,Secondary,16 to 19,Modern languages,,01/09/2023,01/06/2024,12/09/2023,,,,,Now Teach,not funded,,,,,,,,,,
EM2761,,Angélina,Fournier,26/10/1987,Male,"Congolese (Drc), Congolese (Drc)",Percy.Cruickshank@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Primary,3 to 7,Primary,,01/09/2023,01/06/2024,,,,,,Future Teaching Scholars,not funded,,,,,,,,,,
AW3371,,Margie,Frami,23/03/1985,Prefer not to say,Congolese (Drc),Eldora.Hand@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Biology with chemistry,,01/09/2023,01/06/2024,09/09/2023,,,,,Future Teaching Scholars,not funded,,,,,,,,,,
RY2137,,Lorena,Franey,05/02/1976,Prefer not to say,"Congolese (Drc), Congolese (Drc)",Jonas.Hagenes@example.com,Not provided,,,,QTS,Provider-led (undergrad),,Secondary,16 to 19,Physical education with physics,,01/09/2023,01/06/2024,06/09/2023,,,,,Future Teaching Scholars,not funded,,,,,,,,,,
WX3307,,Mamie,Funk,22/08/1968,Female,Congolese (Drc),Kortney.Bogan@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Primary,3 to 7,Primary,,01/09/2023,01/06/2024,01/09/2023,,,,,Future Teaching Scholars,not funded,,,,,,,,,,
GG9603,,Margarita,Funk,03/06/1980,Other,"Congolese (Drc), Congolese (Drc)",Cesar.Lueilwitz@example.com,Not provided,,,,QTS,Provider-led (undergrad),,Secondary,16 to 19,Latin,,01/09/2023,01/06/2024,,,,,,Troops to Teachers,not funded,,,,,,,,,,
ZW8916,,Aphélie,Garcia,11/01/1963,Female,Congolese (Drc),Georgann.Hodkiewicz@example.com,Not provided,,,,QTS,Teaching apprenticeship (postgrad),,Secondary,16 to 19,Biology,,01/09/2023,01/06/2024,03/09/2023,,,,,Now Teach,not funded,,,,,,,,,,
DG6419,,Elena,Gibson,20/01/1981,Male,Congolese (Drc),Devon.Cormier@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Primary,3 to 7,Primary with mathematics,,01/09/2023,01/06/2024,12/09/2023,,,,,Not on a training initiative,not funded,,,,,,,,,,
HK1030,,Byron,Gottlieb,01/05/2003,Male,Congolese (Drc),Manie.Donnelly@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Primary,3 to 7,Primary with modern languages,,01/09/2023,01/06/2024,05/09/2023,,,,,Not on a training initiative,not funded,,,,,,,,,,
HB3671,,Isabelle,Guerin,01/02/1972,Other,Congolese (Drc),Leisha.Bogisich@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Biology with chemistry,,01/09/2023,01/06/2024,09/09/2023,,,,,Not on a training initiative,not funded,,,,,,,,,,
RT3004,,Blake,Gulgowski,09/04/1988,Male,"Congolese (Drc), Congolese (Drc)",Burton.Nitzsche@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,01/09/2023,01/06/2024,03/09/2023,,,,,Future Teaching Scholars,not funded,,,,,,,,,,
NL7535,,Alison,Hagenes,24/01/1989,Other,Congolese (Drc),Roxann.Braun@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,01/09/2023,01/06/2024,15/09/2023,,,,,Future Teaching Scholars,not funded,,,,,,,,,,
HH3355,,Rodney,Halvorson,12/11/1981,Female,British Virgin Islander,Luvenia.Krajcik@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Primary,3 to 7,Primary with mathematics,,01/09/2023,01/06/2024,02/09/2023,,,,,Future Teaching Scholars,not funded,,,,,,,,,,
SP9485,,Woodrow,Hartmann,02/02/1976,Not provided,British Virgin Islander,Mikel.Hilpert@example.com,Not provided,,,,QTS,Provider-led (undergrad),,Primary,3 to 7,Primary with mathematics,,01/09/2023,01/06/2024,12/09/2023,,,,,Now Teach,not funded,,,,,,,,,,
GM5727,,Benny,Harvey,30/06/1969,Not provided,British Virgin Islander,Felix.Rogahn@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Primary,3 to 7,Primary,,01/09/2023,01/06/2024,11/09/2023,,,,,Maths and Physics Chairs programme / Researchers in Schools,not funded,,,,,,,,,,
ZZ0654,,Stuart,Hauck,17/09/1971,Female,British Virgin Islander,Williams.Anderson@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Physical education with physics,,01/09/2023,01/06/2024,01/09/2023,,,,,Transition to Teach,not funded,,,,,,,,,,
EQ2692,,Kim,Heathcote,27/05/1961,Not provided,British Virgin Islander,Shirley.Block@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Primary,3 to 7,Primary,,01/09/2023,01/06/2024,13/09/2023,,,,,Future Teaching Scholars,not funded,,,,,,,,,,
BT0697,,Nick,Heller,19/09/2003,Other,British Virgin Islander,Emmanuel.Reilly@example.com,Not provided,,,,QTS,Provider-led (undergrad),,Secondary,16 to 19,Biology with chemistry,,01/09/2023,01/06/2024,01/09/2023,,,,,Not on a training initiative,not funded,,,,,,,,,,
BK4097,,Jacquelyn,Herman,21/12/1980,Female,British Virgin Islander,Ahmad.Collier@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Physical education,,01/09/2023,01/06/2024,03/09/2023,,,,,Future Teaching Scholars,not funded,,,,,,,,,,
DS2628,,Phyllis,Hermann,01/04/1982,Female,British Virgin Islander,Tristan.Pollich@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Latin,,01/09/2023,01/06/2024,01/09/2023,,,,,Maths and Physics Chairs programme / Researchers in Schools,not funded,,,,,,,,,,
YY3036,,Cameron,Hermann,28/07/1988,Other,British Virgin Islander,Raven.Macejkovic@example.com,Not provided,,,,QTS,Provider-led (undergrad),,Secondary,16 to 19,Design and technology,,01/09/2023,01/06/2024,06/09/2023,,,,,Troops to Teachers,not funded,,,,,,,,,,
WP3275,,Brandy,Hilll,02/08/1971,Prefer not to say,British Virgin Islander,Randal.Wolff@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Mathematics,,01/09/2023,01/06/2024,13/09/2023,,,,,Future Teaching Scholars,not funded,,,,,,,,,,
LY4803,,Edna,Hills,31/03/1974,Prefer not to say,"British Virgin Islander, British Virgin Islander",Enrique.Heidenreich@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Latin,,01/09/2023,01/06/2024,,,,,,Troops to Teachers,not funded,,,,,,,,,,
SH2853,,Katrina,Hodkiewicz,26/12/1992,Female,British Virgin Islander,Winford.Cremin@example.com,Not provided,,,,QTS,School direct (fee funded),,Secondary,16 to 19,Physical education with physics,,01/09/2023,01/06/2024,19/09/2023,,,,,Not on a training initiative,not funded,,,,,,,,,,
HM3654,,Patti,Jacobson,08/03/1998,Male,British Virgin Islander,Steven.Schuster@example.com,Not provided,,,,QTS,School direct (fee funded),,Secondary,16 to 19,Physical education,,01/09/2023,01/06/2024,15/09/2023,,,,,Now Teach,not funded,,,,,,,,,,
CG8977,,Quiéta,Jacquet,30/10/2004,Male,"British Virgin Islander, British Virgin Islander",Rich.Durgan@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Primary,3 to 7,Primary,,01/09/2023,01/06/2024,09/09/2023,,,,,Maths and Physics Chairs programme / Researchers in Schools,not funded,,,,,,,,,,
MH3891,,Terry,Jast,10/03/1980,Prefer not to say,British Virgin Islander,Phylis.Mayer@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Latin,,01/09/2023,01/06/2024,02/09/2023,,,,,Troops to Teachers,not funded,,,,,,,,,,
PM5795,,Randall,Kerluke,15/09/1973,Prefer not to say,British Virgin Islander,Merle.White@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Modern languages,,01/09/2023,01/06/2024,09/09/2023,,,,,Transition to Teach,not funded,,,,,,,,,,
SH0505,,Grant,Kirlin,17/07/1982,Prefer not to say,British Virgin Islander,Jimmy.Rodriguez@example.com,Not provided,,,,QTS,School direct (fee funded),,Secondary,16 to 19,Biology with chemistry,,01/09/2023,01/06/2024,06/09/2023,,,,,Transition to Teach,not funded,,,,,,,,,,
GX0521,,Merle,Klocko,01/08/2001,Female,"British Virgin Islander, British Virgin Islander",Archie.Breitenberg@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Classics with English,,01/09/2023,01/06/2024,01/09/2023,,,,,Not on a training initiative,not funded,,,,,,,,,,
PM7014,,Winston,Kohler,23/01/1961,Male,British Virgin Islander,Marianela.Pollich@example.com,Not provided,,,,QTS,Teaching apprenticeship (postgrad),,Primary,3 to 7,Primary,,01/09/2023,01/06/2024,15/09/2023,,,,,Troops to Teachers,not funded,,,,,,,,,,
TD9870,,Kerry,Konopelski,27/12/1982,Male,"British Virgin Islander, British Virgin Islander",Gregg.Bogisich@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Modern languages,,01/09/2023,01/06/2024,01/09/2023,,,,,Troops to Teachers,not funded,,,,,,,,,,
DQ8137,,Oliver,Kovacek,02/04/2001,Male,British Virgin Islander,Otha.Dare@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Primary,3 to 7,Primary with mathematics,,01/09/2023,01/06/2024,01/09/2023,,,,,Now Teach,not funded,,,,,,,,,,
QS6710,,Vital,Lacroix,21/11/1985,Female,Bangladeshi,Shawanda.Windler@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Biology with chemistry,,01/09/2023,01/06/2024,01/09/2023,,,,,Maths and Physics Chairs programme / Researchers in Schools,not funded,,,,,,,,,,
LX1542,,Christina,Langosh,17/12/1992,Prefer not to say,Bangladeshi,Howard.Hand@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Primary,3 to 7,Primary,,01/09/2023,01/06/2024,01/09/2023,,,,,Now Teach,not funded,,,,,,,,,,
AB9131,,Fidèle,Laurent,08/05/1974,Male,Bangladeshi,Stacy.O'Keefe@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Primary,3 to 7,Primary with physical education,,01/09/2023,01/06/2024,19/09/2023,,,,,Now Teach,not funded,,,,,,,,,,
QD7026,,Sylvie,Laurent,17/04/1997,Male,Bangladeshi,Dara.Smith@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Primary,3 to 7,Primary with mathematics,,01/09/2023,01/06/2024,12/09/2023,,,,,Not on a training initiative,not funded,,,,,,,,,,
WA3900,,Whitney,Lehner,13/11/1968,Female,Bangladeshi,Sophie.Gulgowski@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Latin,,01/09/2023,01/06/2024,16/09/2023,,,,,Not on a training initiative,not funded,,,,,,,,,,
FW4161,,Victorin,Lemaire,30/12/1963,Prefer not to say,Bangladeshi,Louvenia.Mann@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,01/09/2023,01/06/2024,14/09/2023,,,,,Maths and Physics Chairs programme / Researchers in Schools,not funded,,,,,,,,,,
PY7485,,Stanislas,Lemoine,28/11/1966,Female,"Bangladeshi, Bangladeshi",Michal.Jaskolski@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,01/09/2023,01/06/2024,03/09/2023,,,,,Future Teaching Scholars,not funded,,,,,,,,,,
RB6215,,Jessica,Lubowitz,07/02/1996,Other,Bangladeshi,Shaquana.Schmidt@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Latin,,01/09/2023,01/06/2024,10/09/2023,,,,,Now Teach,not funded,,,,,,,,,,
GW6401,,Antoinette,Lueilwitz,23/06/1969,Other,"Bangladeshi, Bangladeshi",Yoshie.Jakubowski@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Latin,,01/09/2023,01/06/2024,16/09/2023,,,,,Maths and Physics Chairs programme / Researchers in Schools,not funded,,,,,,,,,,
CR0592,,Olive,Mante,14/03/1974,Not provided,Bangladeshi,Darnell.Powlowski@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Physical education with physics,,01/09/2023,01/06/2024,07/09/2023,,,,,Transition to Teach,not funded,,,,,,,,,,
CY1368,,Marlène,Marie,11/08/2004,Female,"Bangladeshi, Bangladeshi",Hazel.Welch@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,01/09/2023,01/06/2024,07/09/2023,,,,,Troops to Teachers,not funded,,,,,,,,,,
ZW5355,,Aliette,Meunier,10/12/1976,Other,Bangladeshi,Marcel.Pagac@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,01/09/2023,01/06/2024,20/09/2023,,,,,Not on a training initiative,not funded,,,,,,,,,,
BB3367,,Moses,Miller,04/02/2003,Other,"Bangladeshi, Bangladeshi",Verlie.Rogahn@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Latin,,01/09/2023,01/06/2024,06/09/2023,,,,,Maths and Physics Chairs programme / Researchers in Schools,not funded,,,,,,,,,,
EY3088,,Victor,Mills,25/07/2001,Other,Bangladeshi,Britt.Lemke@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Latin,,01/09/2023,01/06/2024,10/09/2023,,,,,Troops to Teachers,not funded,,,,,,,,,,
GY0902,,Arthaud,Moreau,08/11/1975,Not provided,Bangladeshi,Alonso.Cole@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,01/09/2023,01/06/2024,04/09/2023,,,,,Future Teaching Scholars,not funded,,,,,,,,,,
HB0070,,Amber,Mosciski,01/01/2000,Male,British,df@df.com,Not provided,,,,QTS,Provider-led (undergrad),,Secondary,16 to 19,Design and technology,,01/09/2023,02/02/2025,01/09/2023,,,,,Not on a training initiative,not available,,,,,,,,,,
TA1426,,Ora,Mosciski,01/01/2001,Female,British,example@outlook.com,Mixed or multiple ethnic groups,Learning difficulty,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Biology,,01/09/2023,20/06/2024,04/09/2023,,,,,Veteran teaching undergraduate bursary,not available,,,,,,,,,,
ER6952,,Cassien,Moulin,01/01/1990,Female,Trinidadian,user53@teztr.com,White,Mental health condition,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,01/01/2024,01/01/2025,01/01/2024,,,,,Future Teaching Scholars,not available,,,,,,,,,,
FM9996,,David,Nitzsche,11/11/1980,Female,British,user53@teztr.com,White,Learning difficulty,,,EYTS,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,11/03/2024,11/03/2025,11/03/2024,,,,,Future Teaching Scholars,not available,,,,,,,,,,
TM7395,,Aubrey,O'Kon,19/01/1999,Male,British,usertesting@teztr.com,White,Learning difficulty,,,EYTS,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,11/03/2024,11/03/2025,11/03/2024,,,,,Transition to Teach,bursary,5000,,,,,,,,,
HT5730,,Orlando,O'Reilly,12/12/1990,Male,British,user53@teztr.com,Not provided,,,,EYTS,Provider-led (postgrad),,Secondary,16 to 19,Biology with chemistry,,11/03/2024,11/03/2025,11/03/2024,,,,,Transition to Teach,bursary,5000,,,,,,,,,
BH1454,,Annette,Pacocha,19/01/1976,Male,British,usertesting@tester.com,Not provided,,,,EYTS,Provider-led (postgrad),,Secondary,16 to 19,Latin,,11/03/2024,11/03/2025,11/03/2024,,,,,Transition to Teach,bursary,5000,,,,,,,,,
BH9051,,Angélina,Perrot,19/01/1970,Male,British,usertesting@teztr.com,Not provided,,,,EYTS,Provider-led (postgrad),,Secondary,16 to 19,Physical education with physics,,11/03/2024,11/03/2025,11/03/2024,,,,,Transition to Teach,bursary,5000,,,,,,,,,
NT0340,,Léonne,Petit,01/01/1985,Male,British,test@test.net,Mixed or multiple ethnic groups,Blind,,,EYTS,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,11/11/2023,11/11/2025,11/11/2023,,,,,Future Teaching Scholars,bursary,5000,,,,,,,,,
YG1496,,Saul,Pfannerstill,19/01/1970,Male,British,usertesting@teztr.com,Not provided,,,,EYTS,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,11/03/2024,11/03/2025,11/03/2024,,,,,Transition to Teach,bursary,5000,,,,,,,,,
