TRN,Trainee ID,First names,Last names,Start academic year,Route and course,Date standards met
4930476,EC6238,Laureline,Caron,2021 to 2022,"Provider-led (postgrad)
Design and technology",
6408379,LM5954,Eudoxe,Caron,2021 to 2022,Provider-led (undergrad),
8537680,YM1278,Raoul,Carpentier,2021 to 2022,"Provider-led (postgrad)
Design and technology",
5751332,LP2348,Pearl,Champlin,2021 to 2022,"School direct (fee funded)
Primary",
9719346,PB6404,Christine,Chevalier,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",
8457026,CH1495,Gary,Collier,2021 to 2022,"School direct (salaried)
Primary with modern languages",
3904024,SK9525,Patty,Collins,2021 to 2022,"Provider-led (postgrad)
Latin",
9457054,RT7878,Francisco,Considine,2021 to 2022,"Provider-led (postgrad)
Design and technology",
6896165,CG5580,Alcyone,Da silva,2021 to 2022,"School direct (fee funded)
Design and technology with English",
8832625,HD9024,Max,Deckow,2021 to 2022,"School direct (fee funded)
Physical education",
7999914,DQ9717,Carla,Deckow,2021 to 2022,"Provider-led (postgrad)
Design and technology",
3007806,LY3676,Shannon,Dickens,2021 to 2022,"Provider-led (postgrad)
Design and technology",
9410956,AF9403,Omar,Donnelly,2021 to 2022,"Provider-led (postgrad)
Primary with mathematics",
1256500,MQ9676,Lucien,Dupuis,2021 to 2022,"Provider-led (postgrad)
Biology with chemistry",
8441731,GM2375,Gene,Durgan,2021 to 2022,"Provider-led (postgrad)
Modern languages",
3738544,NZ7230,Jacqueline,Durgan,2021 to 2022,"Provider-led (postgrad)
Latin",
2827462,CN4219,Julia,Erdman,2021 to 2022,Provider-led (undergrad),
3073808,QB3717,Theresa,Fahey,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",
4700830,HG4569,Marion,Flatley,2021 to 2022,"Provider-led (postgrad)
Modern languages",
3379589,EM2761,Angélina,Fournier,2021 to 2022,"School direct (salaried)
Primary",
5054746,AW3371,Margie,Frami,2021 to 2022,"Provider-led (postgrad)
Biology with chemistry",
4041145,RY2137,Lorena,Franey,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",
8569621,WX3307,Mamie,Funk,2021 to 2022,Provider-led (undergrad),
9055186,GG9603,Margarita,Funk,2021 to 2022,"Provider-led (postgrad)
Latin",
4371388,ZW8916,Aphélie,Garcia,2021 to 2022,Provider-led (undergrad),
5843544,DG6419,Elena,Gibson,2021 to 2022,"Teaching apprenticeship (postgrad)
Primary with mathematics",
3969536,HK1030,Byron,Gottlieb,2021 to 2022,"Provider-led (postgrad)
Primary with modern languages",
9150187,HB3671,Isabelle,Guerin,2021 to 2022,"Provider-led (postgrad)
Biology with chemistry",
7279498,RT3004,Blake,Gulgowski,2021 to 2022,"Provider-led (postgrad)
Design and technology",
1785167,NL7535,Alison,Hagenes,2021 to 2022,"Provider-led (postgrad)
Design and technology",
7009193,HH3355,Rodney,Halvorson,2021 to 2022,"Provider-led (postgrad)
Primary with mathematics",
4456200,SP9485,Woodrow,Hartmann,2021 to 2022,"Provider-led (postgrad)
Primary with mathematics",
8957378,GM5727,Benny,Harvey,2021 to 2022,Provider-led (undergrad),
5598145,ZZ0654,Stuart,Hauck,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",
2493764,EQ2692,Kim,Heathcote,2021 to 2022,"Provider-led (postgrad)
Primary",
9729520,BT0697,Nick,Heller,2021 to 2022,"Provider-led (postgrad)
Biology with chemistry",
1455999,BK4097,Jacquelyn,Herman,2021 to 2022,Provider-led (undergrad),
8262628,DS2628,Phyllis,Hermann,2021 to 2022,"Provider-led (postgrad)
Latin",
2953057,YY3036,Cameron,Hermann,2021 to 2022,"Provider-led (postgrad)
Design and technology",
5077067,WP3275,Brandy,Hilll,2021 to 2022,Provider-led (undergrad),
6861505,LY4803,Edna,Hills,2021 to 2022,"Provider-led (postgrad)
Latin",
6784447,SH2853,Katrina,Hodkiewicz,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",
7769677,HM3654,Patti,Jacobson,2021 to 2022,"School direct (fee funded)
Physical education",
8748026,CG8977,Quiéta,Jacquet,2021 to 2022,"School direct (fee funded)
Primary",
9350282,MH3891,Terry,Jast,2021 to 2022,"Provider-led (postgrad)
Latin",
6780890,PM5795,Randall,Kerluke,2021 to 2022,"Provider-led (postgrad)
Modern languages",
4337728,SH0505,Grant,Kirlin,2021 to 2022,"Provider-led (postgrad)
Biology with chemistry",
3865944,GX0521,Merle,Klocko,2021 to 2022,"School direct (fee funded)
Classics with English",
9919650,PM7014,Winston,Kohler,2021 to 2022,"Provider-led (postgrad)
Primary",
6198842,TD9870,Kerry,Konopelski,2021 to 2022,"Teaching apprenticeship (postgrad)
Modern languages",
2177277,DQ8137,Oliver,Kovacek,2021 to 2022,"Provider-led (postgrad)
Primary with mathematics",
4073732,QS6710,Vital,Lacroix,2021 to 2022,"Provider-led (postgrad)
Biology with chemistry",
5999712,LX1542,Christina,Langosh,2021 to 2022,"Provider-led (postgrad)
Primary",
9888335,AB9131,Fidèle,Laurent,2021 to 2022,"Provider-led (postgrad)
Primary with physical education",
2086024,QD7026,Sylvie,Laurent,2021 to 2022,"Provider-led (postgrad)
Primary with mathematics",
7646286,WA3900,Whitney,Lehner,2021 to 2022,"Provider-led (postgrad)
Latin",
7882048,FW4161,Victorin,Lemaire,2021 to 2022,"Provider-led (postgrad)
Design and technology",
7347971,PY7485,Stanislas,Lemoine,2021 to 2022,"Provider-led (postgrad)
Design and technology",
1484766,RB6215,Jessica,Lubowitz,2021 to 2022,"Provider-led (postgrad)
Latin",
6638309,GW6401,Antoinette,Lueilwitz,2021 to 2022,"Provider-led (postgrad)
Latin",
4236028,CR0592,Olive,Mante,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",
5597817,CY1368,Marlène,Marie,2021 to 2022,"Provider-led (postgrad)
Design and technology",
5410523,ZW5355,Aliette,Meunier,2021 to 2022,"Provider-led (postgrad)
Design and technology",
5536974,BB3367,Moses,Miller,2021 to 2022,"Provider-led (postgrad)
Latin",
6851156,EY3088,Victor,Mills,2021 to 2022,"Provider-led (postgrad)
Latin",
5617199,GY0902,Arthaud,Moreau,2021 to 2022,"Provider-led (postgrad)
Design and technology",
1389975,HB0070,Amber,Mosciski,2021 to 2022,"Provider-led (postgrad)
Design and technology",
4876485,TA1426,Ora,Mosciski,2021 to 2022,Provider-led (undergrad),
8215464,ER6952,Cassien,Moulin,2021 to 2022,"Provider-led (postgrad)
Design and technology",
7900821,FM9996,David,Nitzsche,2021 to 2022,"Provider-led (postgrad)
Design and technology",
8273630,TM7395,Aubrey,O'Kon,2021 to 2022,"Provider-led (postgrad)
Design and technology",
3860744,HT5730,Orlando,O'Reilly,2021 to 2022,"Provider-led (postgrad)
Biology with chemistry",
8384234,BH1454,Annette,Pacocha,2021 to 2022,"Provider-led (postgrad)
Latin",
1204048,BH9051,Angélina,Perrot,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",
6088600,NT0340,Léonne,Petit,2021 to 2022,"Provider-led (postgrad)
Design and technology",
4185941,YG1496,Saul,Pfannerstill,2021 to 2022,"Provider-led (postgrad)
Design and technology",
4828006,YK9994,Harold,Pfeffer,2021 to 2022,"Provider-led (postgrad)
Biology with chemistry",
3329403,GC7042,Erik,Pollich,2021 to 2022,"Provider-led (postgrad)
Primary with physical education",
5684508,XE4315,Martha,Pouros,2021 to 2022,"Provider-led (postgrad)
Latin",
3232248,BA0386,Germaine,Prevost,2021 to 2022,"Provider-led (postgrad)
Latin",
7371200,CS3377,Annabelle,Prevost,2021 to 2022,"Provider-led (postgrad)
Latin",
4922124,DS9993,Pat,Rempel,2021 to 2022,"Provider-led (postgrad)
Latin",
7109771,WF0871,Avigaëlle,Remy,2021 to 2022,"Provider-led (postgrad)
Latin",
4817751,NL3209,Céleste,Renaud,2021 to 2022,"Provider-led (postgrad)
Primary with modern languages",
8668206,QW3812,Russell,Renner,2021 to 2022,"Provider-led (postgrad)
Design and technology",
4788104,AD8428,Gautier,Rey,2021 to 2022,"Provider-led (postgrad)
Modern languages",
3960844,SH6489,Gatien,Robert,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",
3889585,WW9157,Daphné,Robert,2021 to 2022,"Provider-led (postgrad)
Latin",
7311560,MN8220,Amalthée,Roger,2021 to 2022,"Provider-led (postgrad)
Biology with chemistry",
1767139,CS1630,Kelly,Rolfson,2021 to 2022,"Teaching apprenticeship (postgrad)
Biology with chemistry",
4966948,MD2264,Yolanda,Runolfsdottir,2021 to 2022,"Provider-led (postgrad)
Modern languages",
3081702,AM9800,Lee,Sawayn,2021 to 2022,Provider-led (undergrad),
7030285,EX9838,Andre,Schaefer,2021 to 2022,"Provider-led (postgrad)
Primary",
2260987,NF7094,Jody,Schneider,2021 to 2022,"Provider-led (postgrad)
Primary with physical education",
2693809,DN2616,Mabel,Schroeder,2021 to 2022,"Provider-led (postgrad)
Modern languages",
8675815,TX1993,Gwen,Shields,2021 to 2022,"Provider-led (postgrad)
Primary with mathematics",
1723973,DK3273,Alfred,Sipes,2021 to 2022,Provider-led (undergrad),
7438582,FY0149,Rogelio,Stanton,2021 to 2022,"Provider-led (postgrad)
Primary with physical education",
3456627,EK8893,Carol,Stark,2021 to 2022,"Provider-led (postgrad)
Primary with modern languages",
9800306,BE6825,Dwight,Steuber,2021 to 2022,Provider-led (undergrad),
5061918,BE0921,Victor,Stoltenberg,2021 to 2022,"Provider-led (postgrad)
Design and technology",
6423079,MC9068,Randal,Stracke,2021 to 2022,"Provider-led (postgrad)
Primary with modern languages",
5609184,QH2562,Sheldon,Swaniawski,2021 to 2022,"School direct (fee funded)
Primary",
8802182,TC8129,Nathan,Swift,2021 to 2022,"Provider-led (postgrad)
Latin",
2008753,AT3764,Héloïse,Thomas,2021 to 2022,"Teaching apprenticeship (postgrad)
Design and technology",
5507441,LA5215,Drew,Tillman,2021 to 2022,"Provider-led (postgrad)
Modern languages",
5536522,MR6798,Ethel,Volkman,2021 to 2022,"Provider-led (postgrad)
Primary with modern languages",
6146464,DL2085,Max,Von,2021 to 2022,Opt-in (undergrad),
2763733,FM7612,Winston,Walsh,2021 to 2022,"School direct (salaried)
Music with art and design",
8621661,GE6621,Jimmie,Wuckert,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",
1715621,LT5293,Luke,Wyman,2021 to 2022,"Provider-led (postgrad)
Primary",
